iso3c,Country_Name,Military_Personnel,Population_Total,Military_Expenditure_Per_Capita_Current_USD,Military_Prop_of_Population_Pct,Military_Personnel_Year,Expenditure_Year
JOR,Jordan,116000,11439213,214.19647514608303,1.01405577464114,2020,2023
JPN,Japan,261000,124516650,402.8464064969087,0.20961052196633942,2020,2023
KAZ,Kazakhstan,71000,20330104,60.81079858937121,0.349235793383054,2020,2023
KEN,Kenya,24000,55339003,18.06216089442524,0.04336905021581253,2020,2023
KGZ,Kyrgyz Republic,21000,7099750,65.43631388641234,0.2957850628543258,2020,2023
KHM,Cambodia,191000,17423880,38.33736992899888,1.096196713935128,2020,2023
KOR,"Korea, Rep.",569000,51712619,926.7677602394804,1.100311705349907,2020,2023
KWT,Kuwait,25000,4853420,1597.848926247403,0.5151006918832494,2020,2023
LAO,Lao PDR,129000,7346533,NA,1.7559303143401113,2020,NA
LBN,Lebanon,80000,5773493,41.79275020524854,1.3856429721141084,2020,2023
LBR,Liberia,2000,5493031,6.763661082560794,0.036409770853286644,2020,2023
LBY,Libya,0,7045399,NA,0,2020,NA
LKA,Sri Lanka,317000,22037000,52.90305577952852,1.4384898125879202,2020,2023
LSO,Lesotho,2000,2311472,14.689357459085596,0.08652495033467851,2020,2023
LTU,Lithuania,37000,2871585,752.4594431279589,1.2884870202344698,2020,2023
LUX,Luxembourg,1000,666430,994.0921259578561,0.15005326891046322,2020,2023
LVA,Latvia,9000,1877445,556.7587568859594,0.4793748951367417,2020,2023
MAR,Morocco,246000,37712505,137.48565361920112,0.6523035263767283,2020,2023
MDA,Moldova,6000,2457783,38.006132809128026,0.24412244693693463,2020,2023
MDG,Madagascar,22000,31195932,3.2738604736106938,0.07052201549868746,2020,2023
MEX,Mexico,341000,129739759,91.15100944524184,0.26283384725572057,2020,2023
MKD,North Macedonia,16000,1827816,145.87338808940615,0.8753616337749532,2020,2023
MLI,Mali,41000,23769127,33.00528380539239,0.17249266243560396,2020,2023
MLT,Malta,2000,552747,203.77626931551507,0.361829191293666,2020,2023
MMR,Myanmar,463000,54133798,46.06154645462859,0.8552882249274288,2020,2023
MNE,Montenegro,12000,623529,183.66397753707366,1.924529572802548,2020,2023
MNG,Mongolia,18000,3481145,42.4611491882056,0.5170712509820763,2020,2023
MOZ,Mozambique,11000,33635160,11.190230396619043,0.032703872971021994,2020,2023
MRT,Mauritania,21000,5022441,55.18461965511392,0.4181233786519344,2020,2023
MUS,Mauritius,3000,1261041,17.88025900363303,0.2378986884645305,2020,2023
MWI,Malawi,15000,21104482,6.4118973777336015,0.0710749498613612,2020,2023
MYS,Malaysia,136000,35126298,111.00347455917415,0.38717430456235385,2020,2023
NAM,Namibia,16000,2963095,114.15287812851022,0.5399759373222931,2020,2023
NER,Niger,10000,26159867,12.675783936672575,0.038226494041426126,2020,2023
NGA,Nigeria,223000,227882945,14.006821205800636,0.09785725737395574,2020,2023
NIC,Nicaragua,12000,6823613,13.832538232825968,0.1758599146815624,2020,2023
NLD,Netherlands,41000,17877117,929.9497294478971,0.22934346740584627,2020,2023
NOR,Norway,25000,5519594,1570.5078971288685,0.4529318641914605,2020,2023
NPL,Nepal,112000,29694614,14.107106954212538,0.3771727761808926,2020,2023
NZL,New Zealand,10000,5245000,577.5070952651573,0.19065776930409914,2020,2023
OMN,Oman,47000,5049269,1158.9312287893554,0.9308278089363033,2020,2023
PAK,Pakistan,943000,247504495,34.428300127950486,0.38100318137656447,2020,2023
PAN,Panama,28000,4458759,0,0.6279774260057563,2020,2023
PER,Peru,158000,33845617,88.66049566782665,0.466825586308561,2020,2023
PHL,Philippines,157000,114891199,47.451201762933295,0.13665102407017268,2020,2023
PNG,Papua New Guinea,4000,10389635,9.340432794982595,0.038499908803341025,2020,2023
POL,Poland,189000,36687353,862.6916941008882,0.5151639040298165,2020,2023
PRK,"Korea, Dem. People's Rep.",1469000,26136312,NA,5.620532843348365,2020,NA
PRT,Portugal,52000,10578174,399.2360418834517,0.4915782251265672,2020,2023
PRY,Paraguay,29000,6844146,58.133050819459434,0.4237197745343247,2020,2023
PSE,West Bank and Gaza,0,4803269,NA,0,2020,NA
QAT,Qatar,22000,2657333,5799.833107889715,0.8278977455968071,2020,2022
ROU,Romania,128000,19059479,294.3778320598884,0.6715818412455031,2020,2023
RUS,Russian Federation,1454000,143826130,761.0187907585778,1.0109428655279817,2020,2023
RWA,Rwanda,35000,13954471,12.797911300528698,0.25081567047579234,2020,2023
SAU,Saudi Arabia,282000,33702731,2249.4715141432694,0.8367274450251525,2020,2023
SDN,Sudan,144000,48066924,7.806045990974938,0.2995823073679522,2020,2021
SEN,Senegal,19000,18077573,24.815690680649997,0.10510260420466841,2020,2023
SGP,Singapore,59000,5917648,2230.7415852701274,0.9970177340727262,2020,2023
SLE,Sierra Leone,9000,8460512,2.6506696373235807,0.1063765408050955,2020,2023
SLV,El Salvador,42000,6309624,71.90602799786485,0.6656498073419271,2020,2023
SOM,Somalia,14000,18358615,7.814587320448737,0.07625847592533533,2020,2023
SRB,Serbia,32000,6623183,322.468381648671,0.4831513790272744,2020,2023
SSD,South Sudan,53000,11483374,93.71515107666963,0.46153682706842086,2020,2023
SUR,Suriname,2000,612317,NA,0.3266282007522247,2020,NA
SVK,Slovak Republic,18000,5426740,490.7413872082208,0.3316908493865562,2020,2023
SVN,Slovenia,7000,2120461,427.98029532150366,0.3301168943923043,2020,2023
SWE,Sweden,15000,10536632,830.8986164660737,0.14236048103416726,2020,2023
SWZ,Eswatini,NA,1230506,55.0953633422779,NA,NA,2023
SYC,Seychelles,0,119773,299.9589559146836,0,2020,2023
SYR,Syrian Arab Republic,269000,21049429,NA,1.2779444040976122,2020,NA
TCD,Chad,45000,19319064,19.275878935428498,0.2329305394919754,2020,2023
TGO,Togo,10000,9304337,29.701103547604845,0.10747676056875413,2020,2023
THA,Thailand,455000,71702435,80.41249627017088,0.6345670129612753,2020,2023
TJK,Tajikistan,17000,10389799,13.429059831062949,0.1636220296465793,2020,2023
TKM,Turkmenistan,57000,6949912,NA,0.8201542695792408,2020,NA
TLS,Timor-Leste,2000,1384286,39.81185968795466,0.14447881434905793,2020,2023
TTO,Trinidad and Tobago,5000,1367510,176.01650503919169,0.3656280392830765,2020,2023
TUN,Tunisia,48000,12200431,99.02963179988805,0.3934287239524571,2020,2023
TUR,Turkiye,512000,85325965,185.498672708195,0.600051813067687,2020,2023
TZA,Tanzania,28000,66617606,13.586072342011315,0.04203093098241927,2020,2023
UGA,Uganda,46000,48656601,20.072528005878194,0.0945401015578544,2020,2023
UKR,Ukraine,298000,37732836,1716.0966009590534,0.7897630594212425,2020,2023
URY,Uruguay,22000,3388081,469.32147647947323,0.6493351251047422,2020,2023
USA,United States,1395000,336806231,2719.7082942328343,0.41418473638630515,2020,2023
UZB,Uzbekistan,68000,33586372,NA,0.20246307043821224,2020,NA
VEN,"Venezuela, RB",343000,28300854,0.1384077434626015,1.2119775608184826,2020,2023
VNM,Viet Nam,522000,98079191,NA,0.5322229870350378,2020,NA
XKX,Kosovo,NA,1682668,79.15136314637944,NA,NA,2023
YEM,"Yemen, Rep.",40000,36134863,NA,0.11069642079451084,2020,NA
ZAF,South Africa,89000,63212384,43.99639794797425,0.14079519608056548,2020,2023
ZMB,Zambia,16000,20723965,18.19980183148471,0.07720530313576576,2020,2023
ZWE,Zimbabwe,51000,16340822,53.26742668678926,0.3121018024674646,2020,2023
